id,categoria,informe,estado,mes,temporalidad,Amparo,AmparoVerbal,OcursoDeHecho,OcursoDeQueja,DudaDeCompetencia,SolicitudDeEnmienda,AmparoEn_ÚnicaInstancia,ApelaciónDeAutoEnAmparo,ApelaciónDeAutoPorSuspension,ApelaciónDeSentenciaEnAmparo,ApelacionDeAutoDeLiquidaciónDeCostas,InconstitucionalidadDeLeyDeCarácterGeneral,PlanteamientoDeErrorSubstancialEnElProcedimiento,ApelaciónDeInconstitucionalidadDeLeyEnCasoConcreto,SolicitudInnominada,total,enlaceInforme,enlaceCSV
cc-2-0,2,Plantilla Informe,ignore,Abril,plantilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
cc-2-1,2,Primer Informe,pasado,Mayo,15 de abril al 14 de mayo de 2018 ,2,14,0,35,1,2,1,73,89,52,140,2,3,7,0,421,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%201.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-2-2,2,Segundo Informe,pasado,Junio,15 de mayo al 14 de junio de 2018 ,1,10,0,47,3,1,86,132,59,173,1,6,10,8,0,537,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%202.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-2-3,2,Tercer Informe,pasado,Julio,15 de junio al 14 de julio de 2018 ,2,7,0,44,5,2,92,115,64,201,4,7,7,5,0,555,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%203.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-2-4,2,Cuarto Informe,pasado,Agosto,15 de julio al 14 de agosto de 2018 ,4,9,3,43,3,2,106,104,62,208,2,10,9,10,0,575,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%204.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-2-5,2,Quinto Informe,pasado,Septiembre,15 de agosto al 14 de septiembre de 2018,1,9,2,35,5,3,107,115,71,173,1,9,8,8,0,547,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%205.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-2-6,2,Sexto Informe,anterior,Octubre,15 de septiembre al 14 de octubre de 2018,4,8,0,38,2,0,86,106,79,217,5,6,5,6,1,563,https://github.com/RedCiudadana/Recursos-Rendicion-Cuentas-CC/raw/master/Informes/PDF/Informe%20Rendicion%20Cuenta%20-%20Corte%20de%20Constitucionalidad%206.pdf,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-2-7,2,Séptimo Informe,actual,Noviembre,15 de octubre al 14 de noviembre de 2018,3,4,2,39,3,0,97,118,80,208,4,15,4,8,1,586,https://drive.google.com/a/redciudadana.org.gt/uc?authuser=0&id=1DHWv6xjKGrSts6WuLq8MDVUvm3-w4F08&export=download,https://docs.google.com/spreadsheets/d/e/2PACX-1vSGTHYywTh1cl9Lu6XbwIz5wOtWn3wVD6N5Yl25FGg4M3gtA--2Nzxi96QBlpWa5nVr6SBB2-44ELeg/pub?output=xlsx
cc-2-8,2,Octavo Informe,,Diciembre,15 de noviembre al 14 de diciembre de 2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
cc-2-9,2,Noveno Informe,,Enero,15 de diciembre al 14 de enero de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
cc-2-10,2,Decimo Informe,,Febrero,15 de febrero al 14 de marzo de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
cc-2-11,2,Onceavo Informe,,Marzo,15 de marzo al 14 de abril de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
cc-2-12,2,Decimo Segundo Informe,,Abril,15 de abril al 14 de mayo de 2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
acumulado-2,,acumulado,acumulado,acumulado,acumulado,17,61,7,281,22,10,575,763,504,1232,157,55,46,52,,3784,,
